Date,Open,High,Low,Close
12/02/2021,"4,504.73","4,595.46","4,504.73","4,577.10"
12/01/2021,"4,602.82","4,652.94","4,510.27","4,513.04"
11/30/2021,"4,640.25","4,646.02","4,560.00","4,567.00"
11/29/2021,"4,628.75","4,672.95","4,625.26","4,655.27"
11/26/2021,"4,664.63","4,664.63","4,585.43","4,594.62"
11/24/2021,"4,675.78","4,702.87","4,659.89","4,701.46"
11/23/2021,"4,678.48","4,699.39","4,652.66","4,690.70"
11/22/2021,"4,712.00","4,743.83","4,682.17","4,682.94"
11/19/2021,"4,708.44","4,717.75","4,694.22","4,697.96"
11/18/2021,"4,700.72","4,708.80","4,672.78","4,704.54"
11/17/2021,"4,701.50","4,701.50","4,684.41","4,688.67"
11/16/2021,"4,679.42","4,714.95","4,679.42","4,700.90"
11/15/2021,"4,689.30","4,697.42","4,672.86","4,682.80"
11/12/2021,"4,655.24","4,688.47","4,650.77","4,682.85"
11/11/2021,"4,659.39","4,664.55","4,648.31","4,649.27"
11/10/2021,"4,670.26","4,684.85","4,630.86","4,646.71"
11/09/2021,"4,707.25","4,708.53","4,670.87","4,685.25"
11/08/2021,"4,701.48","4,714.92","4,694.39","4,701.70"
11/05/2021,"4,699.26","4,718.50","4,681.32","4,697.53"
11/04/2021,"4,662.93","4,683.00","4,662.59","4,680.06"
11/03/2021,"4,630.65","4,663.46","4,621.19","4,660.57"
11/02/2021,"4,613.34","4,635.15","4,613.34","4,630.65"
11/01/2021,"4,610.62","4,620.34","4,595.06","4,613.67"
10/29/2021,"4,572.87","4,608.08","4,567.59","4,605.38"
10/28/2021,"4,562.84","4,597.55","4,562.84","4,596.42"
10/27/2021,"4,580.22","4,584.57","4,551.66","4,551.68"
10/26/2021,"4,578.69","4,598.53","4,569.17","4,574.79"
10/25/2021,"4,553.69","4,572.62","4,537.36","4,566.48"
10/22/2021,"4,546.12","4,559.67","4,524.00","4,544.90"
10/21/2021,"4,532.24","4,551.44","4,526.89","4,549.78"
10/20/2021,"4,524.42","4,540.87","4,524.40","4,536.19"
10/19/2021,"4,497.34","4,520.40","4,496.41","4,519.63"
10/18/2021,"4,463.72","4,488.75","4,447.47","4,486.46"
10/15/2021,"4,447.69","4,475.82","4,447.69","4,471.37"
10/14/2021,"4,386.75","4,439.73","4,386.75","4,438.26"
10/13/2021,"4,358.01","4,372.87","4,329.92","4,363.80"
10/12/2021,"4,368.31","4,374.89","4,342.09","4,350.65"
10/11/2021,"4,385.44","4,415.88","4,360.59","4,361.19"
10/08/2021,"4,406.51","4,412.02","4,386.22","4,391.34"
10/07/2021,"4,383.73","4,429.97","4,383.73","4,399.76"
10/06/2021,"4,319.57","4,365.57","4,290.49","4,363.55"
10/05/2021,"4,309.87","4,369.23","4,309.87","4,345.72"
10/04/2021,"4,348.84","4,355.51","4,278.94","4,300.46"
10/01/2021,"4,317.16","4,375.19","4,288.52","4,357.04"
09/30/2021,"4,370.67","4,382.55","4,306.24","4,307.54"
09/29/2021,"4,362.41","4,385.57","4,355.08","4,359.46"
09/28/2021,"4,419.54","4,419.54","4,346.33","4,352.63"
09/27/2021,"4,442.12","4,457.30","4,436.19","4,443.11"
09/24/2021,"4,438.04","4,463.12","4,430.27","4,455.48"
09/23/2021,"4,406.75","4,465.40","4,406.75","4,448.98"
09/22/2021,"4,367.43","4,416.75","4,367.43","4,395.64"
09/21/2021,"4,374.45","4,394.87","4,347.96","4,354.19"
09/20/2021,"4,402.95","4,402.95","4,305.91","4,357.73"
09/17/2021,"4,469.74","4,471.52","4,427.76","4,432.99"
09/16/2021,"4,477.09","4,485.87","4,443.80","4,473.75"
09/15/2021,"4,447.49","4,486.87","4,438.37","4,480.70"
09/14/2021,"4,479.33","4,485.68","4,435.46","4,443.05"
09/13/2021,"4,474.81","4,492.99","4,445.70","4,468.73"
09/10/2021,"4,506.92","4,520.47","4,457.66","4,458.58"
09/09/2021,"4,513.02","4,529.90","4,492.07","4,493.28"
09/08/2021,"4,518.09","4,521.79","4,493.95","4,514.07"
09/07/2021,"4,535.38","4,535.38","4,513.00","4,520.03"
09/03/2021,"4,532.42","4,541.45","4,521.30","4,535.43"
09/02/2021,"4,534.48","4,545.85","4,524.66","4,536.95"
09/01/2021,"4,528.80","4,537.11","4,522.02","4,524.09"
08/31/2021,"4,529.75","4,531.39","4,515.80","4,522.68"
08/30/2021,"4,513.76","4,537.36","4,513.76","4,528.79"
08/27/2021,"4,474.10","4,513.33","4,474.10","4,509.37"
08/26/2021,"4,493.75","4,495.90","4,468.99","4,470.00"
08/25/2021,"4,490.45","4,501.71","4,485.66","4,496.19"
08/24/2021,"4,484.40","4,492.81","4,482.28","4,486.23"
08/23/2021,"4,450.29","4,489.88","4,450.29","4,479.53"
08/20/2021,"4,410.56","4,444.35","4,406.80","4,441.67"
08/19/2021,"4,382.44","4,418.61","4,367.73","4,405.80"
08/18/2021,"4,440.94","4,454.32","4,397.59","4,400.27"
08/17/2021,"4,462.12","4,462.12","4,417.83","4,448.08"
08/16/2021,"4,461.65","4,480.26","4,437.66","4,479.71"
08/13/2021,"4,464.84","4,468.37","4,460.82","4,468.00"
08/12/2021,"4,446.08","4,461.77","4,435.96","4,460.83"
08/11/2021,"4,442.18","4,449.44","4,436.42","4,447.70"
08/10/2021,"4,435.79","4,445.21","4,430.03","4,436.75"
08/09/2021,"4,437.77","4,439.39","4,424.74","4,432.35"
08/06/2021,"4,429.07","4,440.82","4,429.07","4,436.52"
08/05/2021,"4,408.86","4,429.76","4,408.86","4,429.10"
08/04/2021,"4,415.95","4,416.17","4,400.23","4,402.66"
08/03/2021,"4,392.74","4,423.79","4,373.00","4,423.15"
08/02/2021,"4,406.86","4,422.18","4,384.81","4,387.16"
07/30/2021,"4,395.12","4,412.25","4,389.65","4,395.26"
07/29/2021,"4,403.59","4,429.97","4,403.59","4,419.15"
07/28/2021,"4,402.95","4,415.47","4,387.01","4,400.64"
07/27/2021,"4,416.38","4,416.38","4,372.51","4,401.46"
07/26/2021,"4,409.58","4,422.73","4,405.45","4,422.30"
