Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,75.663002,76.877998,75.616501,76.471497,76.471497,27124000
2020-07-28,76.250000,76.300499,75.026001,75.182503,75.182503,30910000
2020-07-29,75.250000,76.666496,75.150497,76.175499,76.175499,22676000
2020-07-30,74.898499,77.044502,74.758499,76.918503,76.918503,36042000
2020-07-31,74.852501,75.250999,72.699997,74.397499,74.397499,91468000
2020-08-03,74.550003,74.886497,73.585999,74.138000,74.138000,45482000
2020-08-04,74.335503,74.655502,73.201500,73.665001,73.665001,37212000
2020-08-05,73.841003,74.500000,73.560997,73.954498,73.954498,29134000
2020-08-06,73.807503,75.313499,73.595001,75.247498,75.247498,33306000
2020-08-07,75.452003,76.004501,74.313499,74.918503,74.918503,27718000
2020-08-10,74.540001,75.357498,73.874496,74.841003,74.841003,20546000
2020-08-11,74.699997,75.522003,73.909500,74.027000,74.027000,31098000
2020-08-12,74.356003,75.583504,74.250000,75.362000,75.362000,22512000
2020-08-13,75.410500,76.848503,75.410500,75.832497,75.832497,22388000
2020-08-14,75.680496,75.989502,74.949997,75.231499,75.231499,21942000
2020-08-17,75.798500,76.189003,75.250000,75.811996,75.811996,19990000
2020-08-18,76.306000,77.868500,76.083504,77.789001,77.789001,28378000
2020-08-19,77.624496,78.443001,77.000000,77.230499,77.230499,30472000
2020-08-20,76.998497,79.008499,76.723000,78.812500,78.812500,26382000
2020-08-21,78.589996,79.594002,78.115501,78.778503,78.778503,34838000
2020-08-24,79.623497,80.439003,78.751999,79.257500,79.257500,25638000
2020-08-25,79.004997,80.444000,78.893997,80.292503,80.292503,25150000
2020-08-26,80.315002,82.639503,80.049004,82.206497,82.206497,52188000
2020-08-27,82.330498,82.399498,80.940498,81.426003,81.426003,31350000
2020-08-28,81.473503,82.067497,81.280502,81.971497,81.971497,22418000
2020-08-31,82.178497,82.224998,81.266502,81.476501,81.476501,26422000
2020-09-01,81.608002,82.960999,81.476501,82.753998,82.753998,22652000
2020-09-02,83.400497,86.305000,83.009499,85.869499,85.869499,49522000
2020-09-03,84.975998,85.000000,80.385498,81.475502,81.475502,63726000
2020-09-04,80.449997,81.749496,76.898499,79.060501,79.060501,55850000
2020-09-08,76.250000,77.777496,75.824997,76.180000,76.180000,54032000
2020-09-09,77.445000,77.935997,76.258499,77.361504,77.361504,39242000
2020-09-10,77.509003,78.682999,76.000000,76.302498,76.302498,33024000
2020-09-11,76.407501,76.934998,74.651001,75.788002,75.788002,30706000
2020-09-14,76.582497,77.849998,75.255501,75.441498,75.441498,42660000
2020-09-15,76.394501,77.549500,76.105003,76.755997,76.755997,23042000
2020-09-16,77.124001,77.718498,75.579498,75.604500,75.604500,22128000
2020-09-17,74.290497,74.932999,73.123001,74.351997,74.351997,40008000
2020-09-18,74.415001,74.760002,71.581001,72.554497,72.554497,63056000
2020-09-21,71.581001,72.002998,70.134003,71.507004,71.507004,56908000
2020-09-22,72.515999,73.198502,71.474998,72.990997,72.990997,33950000
2020-09-23,72.604500,72.653999,70.134003,70.469498,70.469498,37726000
2020-09-24,70.134003,71.899498,70.107498,71.142998,71.142998,34552000
2020-09-25,71.252502,72.296997,70.384003,71.953003,71.953003,30326000
2020-09-28,73.599503,73.649498,72.314003,72.932999,72.932999,30784000
2020-09-29,73.195503,73.599998,72.699997,73.301003,73.301003,31816000
2020-09-30,73.046997,74.309998,72.788002,73.279999,73.279999,40924000
2020-10-01,74.182999,74.753502,73.839996,74.394997,74.394997,32884000
2020-10-02,72.981499,73.951500,72.367500,72.779999,72.779999,31222000
2020-10-05,73.132500,74.235001,73.004501,74.141502,74.141502,21602000
2020-10-06,73.775002,74.225998,72.250504,72.551003,72.551003,26096000
2020-10-07,72.965500,73.448502,71.661499,72.957001,72.957001,36108000
2020-10-08,73.272499,74.401497,73.272499,74.171501,74.171501,26076000
2020-10-09,74.642998,75.592499,74.349998,75.522499,75.522499,32966000
2020-10-12,76.900002,79.420998,76.464996,78.229500,78.229500,55344000
2020-10-13,78.850502,79.258003,77.931503,78.353500,78.353500,39072000
2020-10-14,78.730003,79.192497,77.294998,78.171997,78.171997,33174000
2020-10-15,77.224998,78.570000,77.056503,77.773499,77.773499,31210000
2020-10-16,78.091499,78.885498,77.883003,78.385002,78.385002,34194000
2020-10-19,78.796501,79.196503,76.146004,76.497498,76.497498,29734000
2020-10-20,76.155502,78.692001,76.025002,77.554001,77.554001,41670000
2020-10-21,78.492500,80.757004,78.357002,79.299500,79.299500,60322000
2020-10-22,79.250000,80.670998,78.874001,80.333000,80.333000,30512000
2020-10-23,80.752502,81.706001,80.595497,81.649002,81.649002,30548000
2020-10-26,80.750000,81.478996,78.389000,79.214500,79.214500,35826000
2020-10-27,79.446503,80.099998,78.849503,79.944000,79.944000,25902000
2020-10-28,77.500504,77.690498,75.424004,75.540001,75.540001,45174000
2020-10-29,75.850998,79.436996,75.827499,77.844002,77.844002,55406000
2020-10-30,83.372002,84.066002,80.078499,80.805496,80.805496,99878000
2020-11-02,81.177002,82.912003,80.711998,81.216003,81.216003,44228000
2020-11-03,81.538002,82.949997,80.605499,82.282997,82.282997,31432000
2020-11-04,85.278999,88.501503,85.150002,87.292503,87.292503,71342000
2020-11-05,88.522499,89.591003,87.051498,88.125000,88.125000,39758000
2020-11-06,87.567001,88.425003,86.834000,87.986504,87.986504,28622000
2020-11-09,89.799004,90.844498,87.877502,88.070999,88.070999,53440000
2020-11-10,86.488503,87.969002,85.806000,86.886002,86.886002,43022000
2020-11-11,87.419998,88.144997,87.153000,87.361504,87.361504,31838000
2020-11-12,87.099998,88.249001,86.898499,87.140999,87.140999,26474000
2020-11-13,87.400002,88.856499,86.799004,88.612999,88.612999,29744000
2020-11-16,88.207001,89.717003,88.066498,88.701500,88.701500,25468000
2020-11-17,88.392998,88.857002,87.974503,88.083000,88.083000,21314000
2020-11-18,87.832001,88.250000,86.928497,87.031998,87.031998,20108000
2020-11-19,86.661499,88.174500,86.500999,87.928497,87.928497,20106000
2020-11-20,88.099998,88.417999,86.750000,86.819000,86.819000,27694000
2020-11-23,87.011002,87.299500,85.509003,86.377998,86.377998,22530000
2020-11-24,86.375000,88.323997,86.036499,88.195000,88.195000,27984000
2020-11-25,88.390503,88.518997,87.417999,88.206497,88.206497,19600000
2020-11-27,88.226997,89.850502,88.226997,89.350998,89.350998,14790000
2020-11-30,88.782501,89.016998,87.391998,87.720001,87.720001,32418000
2020-12-01,88.333000,91.085999,88.151497,89.767998,89.767998,37350000
2020-12-02,89.767998,91.637001,89.258499,91.248497,91.248497,29424000
2020-12-03,91.027000,92.191498,90.849998,91.092003,91.092003,24728000
2020-12-04,91.011002,91.474998,90.679497,91.188004,91.188004,20544000
2020-12-07,90.777496,91.464500,90.152000,90.851501,90.851501,22288000
2020-12-08,90.426003,90.798500,89.564003,90.566498,90.566498,19936000
2020-12-09,90.517998,91.418503,88.099998,88.892998,88.892998,31728000
2020-12-10,88.129997,88.749496,86.676498,88.382500,88.382500,28688000
2020-12-11,88.000000,88.865501,87.637001,88.739998,88.739998,18628000
2020-12-14,88.536003,89.489998,87.456497,87.612999,87.612999,33050000
2020-12-15,87.992996,88.199997,87.083504,88.054001,88.054001,21352000
2020-12-16,88.455498,88.455498,87.453003,87.859497,87.859497,24676000
2020-12-17,88.196503,88.335503,86.557503,87.025497,87.025497,34880000
2020-12-18,87.308502,87.417999,85.750000,86.310997,86.310997,85256000
2020-12-21,85.456497,86.849998,84.699997,86.727997,86.727997,33974000
2020-12-22,86.466499,86.630501,85.289001,86.011002,86.011002,20370000
2020-12-23,86.196503,87.205498,86.059998,86.411499,86.411499,22974000
2020-12-24,86.449997,87.120499,86.217499,86.708000,86.708000,9312000
2020-12-28,87.245499,89.349998,87.091003,88.697998,88.697998,27650000
2020-12-29,89.361504,89.423500,87.755501,87.888000,87.888000,19726000
2020-12-30,88.250000,88.388000,86.400002,86.812500,86.812500,21026000
2020-12-31,86.863503,87.875000,86.804497,87.632004,87.632004,21070000
2021-01-04,88.000000,88.124496,85.357002,86.306503,86.306503,37324000
2021-01-05,86.254501,87.341499,85.845001,87.002502,87.002502,20360000
2021-01-06,85.013000,87.198502,84.805000,86.143997,86.143997,46588000
2021-01-07,86.337997,88.890999,86.337997,88.717003,88.717003,41936000
2021-01-08,88.858002,89.968002,88.060997,89.891502,89.891502,35484000
2021-01-11,88.850998,89.219002,87.607002,87.814499,87.814499,34796000
2021-01-12,87.267998,88.394997,85.819000,86.871498,86.871498,29528000
2021-01-13,86.365997,87.819504,86.365997,87.362503,87.362503,23432000
2021-01-14,87.443497,88.377502,86.303497,86.545998,86.545998,29212000
2021-01-15,86.450996,87.380997,85.585503,86.380997,86.380997,31444000
2021-01-19,87.150002,90.192001,86.641502,89.223503,89.223503,41660000
2021-01-20,91.318497,94.986000,90.975502,94.003502,94.003502,64152000
2021-01-21,94.682503,96.603996,93.970497,94.207497,94.207497,58634000
2021-01-22,94.572998,95.219498,93.824997,94.627998,94.627998,32744000
2021-01-25,95.637001,96.091003,92.958000,94.713997,94.713997,50586000
2021-01-26,94.299500,95.787498,93.806503,95.397499,95.397499,31462000
2021-01-27,93.745499,94.023499,89.863998,90.946999,90.946999,82512000
2021-01-28,91.550003,94.399498,91.550003,92.660004,92.660004,55278000
2021-01-29,91.700996,92.376999,90.078003,91.367996,91.367996,44530000
2021-02-01,92.229500,95.777000,92.229500,94.653503,94.653503,40252000
2021-02-02,95.656502,97.468498,95.318497,95.956001,95.956001,66332000
2021-02-03,103.280502,105.331001,100.677498,102.944000,102.944000,97882000
2021-02-04,103.030998,103.464996,101.754997,102.681503,102.681503,48596000
2021-02-05,102.977997,104.796997,102.500000,104.441498,104.441498,29866000
2021-02-08,105.000000,105.750000,103.167503,104.225998,104.225998,28828000
2021-02-09,103.739998,104.925499,103.500000,103.769501,103.769501,21892000
2021-02-10,104.156998,104.944000,102.612000,104.323997,104.323997,25102000
2021-02-11,104.550003,104.699997,103.443001,104.437500,104.437500,20480000
2021-02-12,103.988503,104.974998,103.678497,104.751503,104.751503,18990000
2021-02-16,104.587502,107.257004,104.587502,105.535004,105.535004,31004000
2021-02-17,104.698997,106.122002,104.417503,105.931000,105.931000,20294000
2021-02-18,105.250000,106.099503,104.666496,105.290497,105.290497,22546000
2021-02-19,105.389503,105.929001,104.171501,104.440498,104.440498,37938000
2021-02-22,102.680000,104.016502,102.400002,102.712997,102.712997,29466000
2021-02-23,100.699501,103.625000,99.511497,103.005997,103.005997,34658000
2021-02-24,101.501999,104.416000,101.376503,104.190498,104.190498,22608000
2021-02-25,102.796501,104.150002,100.324501,100.797501,100.797501,41548000
2021-02-26,101.497498,102.825996,100.050499,101.095497,101.095497,40042000
2021-03-01,102.400002,103.811501,101.721001,103.483002,103.483002,26060000
2021-03-02,103.241997,104.737000,102.833504,103.223999,103.223999,25564000
2021-03-03,102.597504,103.799500,99.699997,100.570503,100.570503,33892000
2021-03-04,100.743500,103.729500,100.271500,101.696503,101.696503,49216000
2021-03-05,103.057503,105.309998,101.389000,104.853500,104.853500,53100000
